Student ID,Gender,Age,Parent Education Level,Hours Studied Per Week,Sleep Hours Per Night,Extracurricular Activities,Math Score,Science Score,English Score,Overall GPA,Absence Rate
STU0042,Male,17,Some College,49.1,5.2,2,79.2,64.7,77.4,3.12,0.181
STU0043,Male,18,Bachelor's Degree,42.3,10.4,0,78.3,77.3,78.2,3.21,0.192
STU0044,Male,15,Doctorate,33.7,6.1,0,71.1,64.5,75.2,2.9,0.162
STU0045,Female,18,Some College,56.0,6.5,2,76.1,94.6,82.1,3.46,0.201
STU0046,Female,18,Doctorate,2.0,6.4,4,34.3,39.1,40.4,1.6,0.158
STU0047,Female,14,Master's Degree,40.4,3.9,1,61.1,80.9,74.9,2.67,0.131
STU0048,Female,14,High School,54.0,7.6,4,72.8,91.8,69.9,3.18,0.085
STU0049,Female,15,Bachelor's Degree,17.8,3.0,3,59.3,67.6,58.2,2.61,0.132
STU0050,Female,16,Master's Degree,34.4,,3,71.3,73.2,62.5,2.61,0.141
STU0051,Female,15,High School,39.3,4.0,4,70.6,91.0,79.0,3.44,0.125
STU0052,Female,18,Some College,40.2,9.6,3,78.1,70.3,86.5,3.19,0.069
STU0053,Male,16,Bachelor's Degree,25.7,3.8,2,58.3,70.5,69.1,2.64,0.038
STU0054,Male,18,Master's Degree,21.9,3.2,3,73.6,63.6,66.7,2.77,0.011
STU0055,Male,17,Some College,46.2,6.3,4,85.0,81.4,92.4,3.13,0.212
STU0056,Male,14,Doctorate,12.7,4.0,3,65.2,61.7,70.8,2.38,0.085
STU0057,Female,16,High School,36.8,11.0,0,85.9,100,84.7,3.45,0.167
STU0058,Female,18,High School,3.2,5.0,4,56.4,66.3,54.3,2.29,0.168
STU0059,Female,18,Doctorate,14.2,9.0,0,58.5,65.9,62.0,2.73,0.076
STU0060,Male,17,Some College,40.5,12.0,4,75.6,80.0,92.8,3.31,0.163
STU0061,Female,14,Doctorate,18.8,9.4,0,57.2,54.0,57.6,2.06,1.8
STU0062,Male,17,Master's Degree,7.8,11.7,1,73.6,64.2,69.5,2.56,0.146
STU0063,Male,16,High School,43.2,7.7,0,71.5,80.1,74.7,2.96,0.105
STU0064,Female,17,High School,40.0,7.0,2,80.9,76.3,85.2,3.32,0.051
STU0065,Female,16,High School,1.8,6.8,2,65.7,56.4,65.1,2.52,0.027
STU0066,Male,15,Doctorate,24.3,10.6,4,74.7,63.1,69.3,2.88,0.207
STU0067,Female,16,Bachelor's Degree,24.4,10.1,4,62.4,53.0,57.0,2.21,0.181
STU0068,Female,14,High School,44.5,4.0,2,88.5,98.3,91.5,3.9,0.102
STU0069,Male,16,High School,56.2,9.2,4,100,91.4,98.9,3.98,0.058
STU0070,Female,17,Some College,10.9,7.5,4,53.7,60.6,52.2,1.96,0.188
STU0071,Male,15,Bachelor's Degree,48.1,6.3,3,72.5,61.7,64.1,2.51,0.158
STU0072,Male,15,Doctorate,30.3,5.0,1,61.4,69.7,60.1,3.01,0.067
STU0073,Male,16,Doctorate,32.7,8.1,4,67.0,71.2,57.2,2.52,0.104
STU0074,Male,14,High School,0.6,6.4,0,43.8,51.1,45.3,,0.049
STU0075,Male,16,Master's Degree,18.9,5.9,3,44.3,46.5,42.3,1.66,0.078
STU0076,Female,18,Some College,37.2,10.1,3,77.9,93.7,66.8,3.15,0.229
STU0077,Female,15,Some College,58.6,9.4,3,94.9,89.4,92.7,3.38,0.029
STU0078,Female,16,High School,55.0,,2,94.3,78.2,89.2,3.47,0.199
STU0079,Female,18,Master's Degree,50.2,5.8,0,82.5,83.7,89.1,3.28,0.215
STU0080,Male,17,Some College,3.9,11.3,3,71.1,63.3,76.5,2.65,0.144
STU0081,Female,17,Master's Degree,57.9,6.3,3,97.1,99.0,97.0,3.8,0.156
STU0082,Male,17,Bachelor's Degree,27.9,3.6,3,67.8,57.8,61.3,2.4,0.042
STU0083,Male,4,Some College,9.6,9.4,2,53.7,63.2,61.8,2.56,0.029
STU0084,Male,18,Master's Degree,26.1,6.5,0,57.7,69.3,74.6,2.6,0.238
STU0085,Female,15,High School,11.9,10.4,0,65.8,63.8,61.7,2.87,0.003
STU0086,Male,15,Some College,8.1,4.7,3,46.5,47.8,47.2,1.79,0.078
STU0087,Female,18,Bachelor's Degree,29.3,4.0,3,57.4,51.4,47.0,1.98,0.106
STU0088,Female,15,High School,58.9,11.0,1,84.8,84.1,88.3,3.42,0.154
STU0089,Male,14,Doctorate,0.4,8.9,4,60.9,55.7,67.5,2.04,0.052
STU0090,Female,16,Bachelor's Degree,22.5,5.1,4,50.4,55.5,57.3,2.18,0.031
STU0091,Female,3,Master's Degree,0.9,9.1,1,38.2,36.4,44.2,1.52,0.233
STU0092,Female,14,Some College,3.2,11.6,4,46.3,44.1,49.6,1.65,0.131
STU0093,Female,14,High School,57.7,11.9,0,87.4,89.5,90.4,3.99,0.172
STU0094,Female,15,Bachelor's Degree,53.1,6.5,1,76.0,79.2,76.7,2.85,0.168
STU0095,Male,16,Bachelor's Degree,,7.0,4,30.1,30.2,21.5,1.16,0.199
STU0096,Male,17,Some College,25.9,8.4,4,69.9,65.2,73.9,2.7,0.082
STU0097,Male,16,Master's Degree,22.2,7.9,2,58.9,69.8,59.2,2.28,0.046
STU0098,Male,99,Bachelor's Degree,37.9,5.1,1,75.2,69.2,74.4,2.89,0.16
STU0099,Male,14,High School,2.1,8.0,4,53.2,53.4,55.7,2.17,0.012
STU0100,Male,16,High School,51.2,9.6,3,,87.6,85.5,3.22,0.028
STU0101,Male,15,Doctorate,22.8,3.0,2,70.1,62.9,58.3,2.74,0.088
STU0102,Female,17,Some College,28.9,5.3,3,77.6,77.0,70.0,2.72,0.199
STU0103,Male,18,Bachelor's Degree,22.0,11.6,2,77.4,67.4,53.3,2.93,0.248
STU0104,Male,15,Bachelor's Degree,56.4,8.7,2,77.8,59.5,81.1,2.88,0.229
STU0105,Female,16,High School,6.1,4.2,4,43.9,45.4,52.8,2.07,0.093
STU0106,Female,16,Bachelor's Degree,25.4,8.8,0,67.1,68.5,62.3,2.5,0.172
STU0107,Female,18,Master's Degree,32.4,6.2,3,68.4,66.0,72.0,2.69,0.224
STU0108,Female,14,Master's Degree,21.0,10.1,2,59.6,58.0,62.2,2.13,0.115
STU0109,Male,14,Doctorate,6.7,4.6,1,59.7,55.5,49.4,2.74,0.142
STU0110,Female,16,Bachelor's Degree,49.9,7.0,2,77.2,73.9,75.8,3.04,0.225
STU0111,Male,15,Doctorate,35.4,4.4,0,78.2,80.7,84.2,3.28,0.207
STU0112,Female,15,Master's Degree,25.8,8.4,1,62.6,68.1,66.7,2.59,0.047
STU0113,Male,17,Bachelor's Degree,16.5,6.9,2,59.5,61.0,53.0,2.53,0.08
STU0114,Female,14,Doctorate,56.6,9.0,4,86.2,94.7,80.6,3.61,0.08
STU0115,Female,17,Some College,17.3,3.8,4,52.9,39.2,47.7,1.82,0.194
STU0116,Male,18,Bachelor's Degree,14.1,10.4,1,64.1,63.2,52.7,2.37,0.131
STU0117,Male,18,High School,27.1,10.9,1,62.8,62.8,70.4,2.74,0.221
STU0118,Male,16,High School,27.1,7.0,4,56.8,52.7,52.1,2.37,0.065
STU0119,Male,15,Bachelor's Degree,2.4,5.2,3,59.7,59.4,49.0,2.05,0.205
STU0120,Female,17,Master's Degree,57.0,4.6,3,82.5,69.7,81.8,3.18,0.098
STU0121,Female,18,Doctorate,57.7,4.1,4,81.6,68.0,74.7,2.75,0.116
STU0122,Female,15,High School,27.7,9.0,1,67.5,55.0,61.2,2.58,0.011
STU0123,Female,16,High School,17.7,5.5,0,48.1,38.8,53.2,2.27,0.064
STU0124,Male,18,High School,39.1,10.2,0,90.4,86.5,91.4,3.67,0.184
STU0125,Male,18,High School,33.8,9.7,,75.0,74.9,90.1,3.22,0.019
STU0126,Female,7,High School,15.5,8.0,3,79.3,73.7,66.2,2.65,0.176
STU0127,Male,18,Master's Degree,39.7,3.5,4,63.9,57.3,56.9,1.91,0.185
STU0128,Female,16,Bachelor's Degree,44.3,5.6,4,81.2,89.9,75.9,3.13,0.047
STU0129,Male,16,Master's Degree,20.8,5.9,4,57.9,57.6,56.4,2.22,0.013
STU0130,Male,18,Master's Degree,12.7,9.3,0,65.1,59.2,67.5,2.69,0.041
STU0131,Male,15,Master's Degree,0.5,9.9,0,36.0,38.7,32.2,1.65,0.023
STU0132,Male,17,Some College,18.9,5.8,0,48.5,46.4,48.4,1.79,0.017
STU0133,Female,,Some College,23.8,8.3,4,65.3,58.7,80.8,2.69,0.01
STU0134,Female,17,Doctorate,4.2,6.3,2,38.3,40.9,36.6,1.4,0.18
STU0135,Male,14,Master's Degree,25.2,11.9,3,91.3,80.8,66.5,3.28,0.047
STU0136,Female,14,Some College,29.3,11.3,1,62.6,70.1,69.6,2.82,0.036
STU0137,Male,16,Doctorate,13.2,5.9,3,62.5,56.0,55.2,2.52,0.217
STU0138,Male,17,Master's Degree,1.3,11.9,4,68.2,51.2,59.8,2.44,0.015
STU0139,Female,15,High School,1.3,3.3,4,64.7,59.5,61.5,2.48,0.082
STU0140,Female,15,Bachelor's Degree,19.0,9.4,3,66.9,61.3,63.9,2.73,0.115
STU0141,Female,16,Master's Degree,20.7,7.1,3,64.7,65.5,78.8,2.93,0.061
STU0142,Female,15,Doctorate,8.9,9.7,4,60.9,48.1,57.2,2.39,0.132
STU0143,Male,17,Doctorate,7.8,10.2,2,62.5,59.6,67.3,2.2,0.077
STU0144,Female,15,Doctorate,45.6,9.7,2,79.6,86.1,85.6,3.45,0.147
STU0145,Male,15,Bachelor's Degree,34.8,12.0,1,81.3,77.8,75.6,3.3,0.08
STU0146,Male,18,High School,40.4,10.6,3,87.3,76.6,73.2,3.05,0.177
STU0147,Male,17,Master's Degree,56.7,8.5,0,89.3,81.9,87.0,3.37,0.036
STU0148,Female,14,Master's Degree,59.0,7.6,3,87.8,86.3,93.6,3.37,0.023
STU0149,Male,14,Master's Degree,12.3,9.2,4,49.8,43.4,45.0,1.8,0.233
STU0150,Male,17,Doctorate,30.8,8.9,0,82.5,84.2,90.5,3.05,0.178
STU0151,Male,16,Bachelor's Degree,2.0,3.6,3,67.3,64.8,70.6,2.95,0.072
STU0152,Male,18,Master's Degree,48.1,8.3,2,86.3,86.9,84.8,3.55,0.241
STU0153,Male,18,Master's Degree,58.4,7.1,1,91.1,79.0,100,3.55,0.011
STU0154,Female,17,Doctorate,55.3,10.6,1,90.6,91.2,85.7,3.5,0.038
STU0155,Male,16,Some College,46.8,10.3,3,100,88.1,95.0,4.0,0.176
STU0156,Female,16,Master's Degree,1.7,6.4,2,54.2,45.4,47.5,1.84,0.147
STU0157,Female,14,High School,23.1,8.0,0,75.3,67.7,57.5,2.75,0.242
STU0158,Female,17,Master's Degree,2.5,5.8,4,50.0,54.9,53.4,2.05,0.142
STU0159,Male,18,Master's Degree,36.7,5.8,2,71.0,81.3,78.3,2.71,0.028
STU0160,Female,18,Bachelor's Degree,26.4,3.6,1,69.1,70.4,64.2,2.83,0.2
STU0161,,18,Master's Degree,42.9,4.1,4,74.3,69.1,73.2,2.58,0.036
STU0162,Female,18,High School,41.7,4.5,4,81.8,86.0,100,3.6,0.154
STU0163,Male,15,Master's Degree,32.9,11.9,4,77.7,79.5,76.9,3.04,0.22
STU0164,Female,17,Bachelor's Degree,50.5,9.7,0,94.4,100,93.6,4.0,0.082
STU0165,Female,14,High School,49.9,10.1,3,92.5,89.5,100,3.84,0.084
STU0166,Male,14,Some College,148.7,10.0,0,77.1,63.9,70.5,2.92,0.043
STU0167,Female,17,Doctorate,44.5,5.2,1,86.9,76.5,79.2,3.68,0.001
STU0168,Male,15,Some College,46.4,6.1,0,96.8,89.5,100,3.48,0.105
STU0169,Female,18,Doctorate,36.6,3.6,4,51.7,58.5,53.6,2.05,0.065
STU0170,Male,18,Master's Degree,35.7,10.2,1,85.3,97.2,90.2,3.37,0.06
STU0171,Female,14,Some College,14.7,7.9,0,55.6,61.9,59.5,2.45,0.2
STU0172,Female,15,Doctorate,43.2,10.7,1,61.6,71.2,78.6,2.29,0.13
STU0173,Male,14,Doctorate,37.3,5.1,2,59.7,62.7,52.4,2.16,0.233
STU0174,Female,15,Bachelor's Degree,45.1,4.5,0,66.0,73.5,60.0,2.28,0.046
STU0175,Male,17,Some College,16.1,8.1,1,62.2,51.8,63.5,2.25,0.162
STU0176,Male,14,High School,15.2,3.7,1,68.6,70.0,51.9,2.49,0.246
STU0177,Male,15,High School,40.5,10.7,1,84.3,85.4,81.0,3.22,0.152
STU0178,Female,17,Bachelor's Degree,53.0,3.5,4,81.1,73.6,68.3,3.25,0.067
STU0179,,14,Some College,51.0,7.7,1,86.4,65.5,80.6,3.03,0.023
STU0180,Male,16,High School,12.5,5.5,0,60.3,50.5,60.4,2.39,0.243
STU0181,Female,17,Master's Degree,31.5,9.1,0,78.3,79.1,88.5,3.17,0.096
STU0182,Male,18,Master's Degree,31.5,3.6,4,56.0,46.2,60.6,1.96,0.095
STU0183,Male,14,Bachelor's Degree,15.5,3.2,0,59.0,54.3,54.1,2.3,0.25
STU0184,Female,18,Bachelor's Degree,54.3,3.6,0,75.4,73.0,79.6,3.05,0.002
STU0185,Male,15,Bachelor's Degree,11.4,9.4,0,57.4,73.8,71.2,3.15,0.032
STU0186,Male,14,Some College,27.8,4.0,1,76.6,78.0,80.8,3.07,0.033
STU0187,Male,14,Doctorate,59.4,10.7,3,95.5,87.0,85.0,3.38,0.108
STU0188,Female,18,Doctorate,43.1,11.3,2,89.3,93.2,90.3,3.45,0.019
STU0189,Female,16,Master's Degree,8.2,5.9,2,59.7,62.6,56.8,2.34,0.114
STU0190,Male,18,Some College,13.6,6.1,0,44.1,47.7,50.3,2.16,0.103
STU0191,Male,15,Master's Degree,30.9,6.4,3,76.2,76.7,78.8,2.96,0.162
STU0192,Female,15,High School,22.7,4.1,1,66.2,62.2,71.6,2.6,0.157
STU0193,Female,14,Doctorate,58.4,11.1,2,100,100,99.9,4.0,0.061
STU0194,Female,14,Master's Degree,0.7,10.8,1,64.7,49.3,44.7,1.94,0.131
STU0195,Male,16,Bachelor's Degree,10.3,11.9,4,42.0,40.9,32.4,1.65,0.079
STU0196,Female,15,Some College,43.2,7.8,3,82.1,88.2,76.2,3.27,0.003
STU0197,Female,14,High School,17.5,10.9,2,52.4,46.5,52.8,1.92,0.194
STU0198,Male,15,High School,30.7,4.1,0,57.3,57.6,67.5,2.62,0.018
STU0199,Male,16,High School,19.2,9.5,0,49.8,57.5,44.0,1.93,0.104
STU0200,Female,14,High School,56.9,4.6,0,90.3,95.0,93.3,3.52,0.015
STU0201,Female,15,Master's Degree,37.5,5.2,,70.6,63.2,68.3,2.56,0.165
STU0202,Female,18,Doctorate,23.0,7.9,0,59.7,49.4,70.4,2.76,0.178
STU0203,Female,18,Master's Degree,35.1,4.7,4,90.8,82.7,80.3,3.01,0.198
STU0204,Male,14,Some College,18.6,10.3,3,66.5,57.9,78.5,2.43,0.087
STU0205,Female,18,Bachelor's Degree,32.5,6.8,0,79.8,70.5,74.0,3.02,0.059
STU0206,Male,14,Master's Degree,26.5,9.2,2,75.4,62.8,84.0,2.18,0.123
STU0207,Female,16,Master's Degree,18.8,5.0,3,59.6,49.7,66.4,1.98,0.129
STU0208,Male,18,Bachelor's Degree,50.0,,3,85.9,71.4,87.4,3.21,0.18
STU0209,Male,17,High School,59.0,7.5,0,68.7,84.2,91.7,3.41,
STU0210,Male,18,Some College,23.3,9.0,4,59.7,42.7,53.4,2.24,0.06
STU0211,Female,16,Some College,48.7,5.9,2,100,95.5,100,3.98,0.07
STU0212,Male,14,Master's Degree,55.4,7.4,0,99.7,92.1,98.3,3.7,0.178
STU0213,Male,15,Doctorate,35.2,9.7,0,82.4,86.8,75.0,2.93,0.147
STU0214,Female,18,Master's Degree,49.1,5.4,1,74.3,91.7,80.8,3.51,0.066
STU0215,Male,14,Master's Degree,49.7,9.2,0,68.8,81.1,80.5,3.03,0.184
STU0216,Male,14,Master's Degree,79.0,6.7,0,49.1,59.7,47.3,2.31,0.09
STU0217,Female,16,High School,26.6,11.1,4,58.8,62.5,62.6,2.17,0.162
STU0218,Female,14,High School,54.8,11.6,0,81.6,83.7,87.6,3.24,0.144
STU0219,Female,17,Master's Degree,20.3,10.6,4,67.9,70.0,60.2,2.66,0.144
STU0220,Female,18,Bachelor's Degree,33.1,9.7,3,59.0,63.1,68.6,2.51,0.201
STU0221,Male,18,Some College,22.5,3.3,3,52.3,53.3,47.6,1.86,0.185
STU0222,Female,15,Bachelor's Degree,25.3,4.5,1,56.1,59.0,72.7,2.62,2.4
STU0223,Male,17,,19.3,4.4,1,51.7,55.4,53.9,2.26,0.034
STU0224,Male,16,High School,57.2,7.1,2,84.0,79.0,88.5,3.51,0.145
STU0225,Female,17,High School,46.6,10.7,3,90.6,82.8,89.1,3.44,0.053
STU0226,Male,16,Bachelor's Degree,9.2,8.7,0,60.9,61.0,64.3,2.64,0.004
STU0227,Male,15,Doctorate,58.5,9.7,1,100,100,100,3.95,0.202
STU0228,Male,16,High School,58.7,3.0,1,81.9,69.0,82.0,2.85,0.224
STU0229,Female,14,Some College,24.6,8.1,2,64.4,52.7,58.4,2.31,0.054
STU0230,Male,16,Bachelor's Degree,43.9,7.6,4,--,99.4,100,3.83,0.023
STU0231,Male,18,High School,30.9,10.5,1,56.4,46.9,56.9,1.89,0.204
STU0232,Female,14,High School,5.8,11.8,2,46.2,56.7,61.2,1.97,0.125
STU0233,Female,16,High School,53.1,5.1,4,99.9,100,99.2,3.5,0.043
STU0234,Male,15,Doctorate,56.6,4.9,1,76.2,77.7,68.7,2.95,0.228
STU0235,Male,16,Doctorate,30.4,7.7,1,64.2,59.5,65.1,3.0,0.167
STU0236,,18,High School,16.3,9.7,4,57.2,55.7,64.5,2.32,0.021
STU0237,Female,18,Master's Degree,16.5,4.0,2,67.8,75.6,74.0,2.94,0.104
STU0238,Male,14,Some College,41.7,8.7,0,85.9,71.8,84.8,2.98,0.214
STU0239,Female,15,Doctorate,28.9,7.3,4,81.2,71.2,78.6,3.32,0.076
STU0240,Female,16,Bachelor's Degree,31.7,5.8,0,57.8,44.7,50.3,2.22,0.213
STU0241,Female,15,High School,19.5,11.1,0,68.2,68.9,63.3,2.79,0.018
STU0242,Female,14,,11.5,3.9,0,53.3,50.7,56.5,2.32,0.037
STU0243,Male,18,High School,5.1,8.6,1,70.7,69.7,68.4,2.9,0.174
STU0244,Male,16,Some College,17.8,5.0,2,65.8,81.5,81.7,3.01,0.234
STU0245,Female,15,Doctorate,22.0,11.0,3,N/A,62.3,66.1,2.34,0.031
STU0246,Female,16,Master's Degree,6.2,6.9,2,54.2,56.7,60.3,2.38,0.016
STU0247,Female,14,Bachelor's Degree,57.0,9.8,0,82.5,81.3,76.0,3.41,0.182
STU0248,Male,17,Master's Degree,28.9,11.2,2,73.2,57.9,66.7,2.29,0.113
STU0249,Female,18,Some College,30.1,7.1,0,70.4,54.1,60.4,2.2,2.4
STU0250,Female,17,High School,43.5,9.5,3,85.6,69.9,77.4,2.92,0.033
STU0251,Female,14,High School,27.1,5.4,2,60.1,54.1,54.7,2.32,0.002
STU0252,Male,14,Bachelor's Degree,3.3,8.9,1,60.8,64.9,66.1,2.74,0.115
STU0253,Male,14,Doctorate,3.2,9.2,2,40.5,58.8,56.8,2.01,0.226
STU0254,Male,15,High School,10.2,11.6,4,74.8,74.8,81.2,3.42,0.063
STU0255,Female,14,High School,49.0,9.3,4,89.7,84.5,100,3.79,0.192
STU0256,Male,16,Doctorate,35.1,9.3,3,92.8,82.9,90.5,3.71,0.145
STU0257,Female,15,High School,12.0,9.2,1,67.2,74.9,79.0,3.27,0.0
STU0258,Female,15,Some College,36.2,6.5,2,64.2,66.0,72.8,2.38,0.207
STU0259,Male,15,Doctorate,20.8,9.9,2,78.1,67.4,78.1,2.69,0.171
STU0260,Female,14,Doctorate,18.8,7.4,1,70.9,73.0,61.7,2.71,0.098
STU0261,Female,15,Doctorate,56.1,7.4,1,98.0,97.5,100,3.98,0.189
STU0262,Male,17,Master's Degree,14.8,6.7,3,71.8,71.4,70.0,3.21,0.053
STU0263,Female,16,High School,17.0,10.4,2,N/A,51.6,52.9,2.05,0.026
STU0264,Female,17,Some College,20.0,3.4,1,56.7,60.6,56.4,2.53,0.061
STU0265,Female,16,Bachelor's Degree,58.9,4.1,2,99.6,100,89.7,3.78,0.018
STU0266,Male,15,Master's Degree,1.4,4.5,4,20.8,38.1,29.2,1.46,0.008
STU0267,Female,16,Bachelor's Degree,38.4,6.9,2,82.2,95.2,83.5,3.57,0.144
STU0268,Male,15,High School,52.4,5.7,4,79.5,82.6,75.4,3.33,0.063
STU0269,Female,16,Master's Degree,46.4,5.2,2,79.1,71.1,82.3,3.04,0.084
STU0270,Male,17,High School,34.4,10.6,0,64.5,76.5,73.3,2.8,0.09
STU0271,Female,3,Master's Degree,59.4,6.6,0,69.1,90.8,69.5,3.09,0.116
STU0272,Male,17,Doctorate,57.2,10.0,0,90.4,89.7,93.1,3.48,0.098
STU0273,Female,15,Master's Degree,16.0,9.8,1,55.9,46.3,56.7,2.1,0.215
STU0274,Female,14,High School,33.7,3.7,3,62.8,69.2,76.5,2.53,0.182
STU0275,Male,17,Master's Degree,14.3,10.7,3,64.8,65.9,69.6,2.63,0.152
STU0276,Female,16,Master's Degree,53.6,6.6,1,79.4,74.2,84.2,3.11,0.218
STU0277,Female,17,Master's Degree,19.6,10.9,3,68.8,70.7,70.5,2.79,0.167
STU0278,Male,16,High School,37.5,7.5,3,62.5,61.3,66.5,2.74,0.222
STU0279,Female,15,Doctorate,44.6,10.4,3,76.2,68.6,75.5,3.02,0.217
STU0280,Male,14,High School,49.2,5.9,0,94.0,79.9,91.8,3.58,0.026
STU0281,Male,15,Master's Degree,50.5,6.3,2,81.6,91.5,88.6,3.42,0.185
STU0282,Male,16,Master's Degree,22.6,6.8,2,64.6,78.8,65.0,2.68,0.044
STU0283,Female,18,High School,2.6,9.7,2,55.4,56.0,,2.04,0.083
STU0284,Female,17,Some College,36.8,4.2,1,64.5,70.1,58.8,2.66,0.032
STU0285,Male,17,Doctorate,14.9,11.3,2,82.0,74.8,74.6,3.23,0.206
STU0286,Male,14,Bachelor's Degree,51.2,7.0,3,100,100,100,4.0,0.234
STU0287,Male,17,High School,12.3,8.0,0,62.5,48.6,62.5,2.49,0.015
STU0288,Male,18,Master's Degree,52.1,6.0,1,74.1,74.9,87.2,3.03,0.139
STU0289,Female,15,Bachelor's Degree,20.8,7.3,3,52.9,57.9,46.4,1.96,0.176
STU0290,Male,99,Bachelor's Degree,43.5,9.7,0,91.3,85.7,82.0,3.23,0.244
STU0291,Male,15,Doctorate,25.9,3.7,1,63.6,73.0,60.4,2.6,0.044
STU0292,Female,14,Doctorate,3.4,11.9,3,57.0,59.3,64.2,2.37,0.099
STU0293,Female,14,Bachelor's Degree,9.5,3.4,0,61.9,54.0,49.5,2.36,0.08
STU0294,Male,17,Doctorate,23.6,12.0,3,67.3,64.0,62.7,2.74,0.185
STU0295,Female,14,Master's Degree,9.8,11.3,4,50.7,43.6,41.6,1.78,0.008
STU0296,Female,16,Bachelor's Degree,44.4,7.3,0,88.3,79.9,80.6,3.25,0.092
STU0297,Female,17,High School,17.1,9.2,1,48.0,45.6,50.1,2.09,0.05
STU0298,Male,17,High School,45.3,9.1,1,100,100,100,3.85,0.204
STU0299,Female,14,High School,46.0,5.2,2,70.7,68.5,78.8,2.73,0.152
STU0300,Male,15,Master's Degree,49.8,8.6,3,90.9,100,94.7,4.0,0.015
STU0301,Female,15,High School,37.1,4.1,1,58.7,57.1,62.6,2.41,0.086
STU0302,Female,15,Bachelor's Degree,32.6,7.6,1,85.9,81.8,76.7,3.04,0.157
STU0303,Male,16,Some College,47.8,8.2,3,89.8,80.3,90.6,3.48,0.214
