# Office-hours queue survey. Wait_Minutes is whole minutes, measured at check-in.
Response_ID,Wait_Minutes,Day_Of_Week,Counter,Satisfied
R4085,20,Mon,C2,N
R4086,5,Tue,C3,N
R4087,9,Wed,C4,Y
R4088,18,Thu,C1,Y
R4089,15,Fri,C2,Y
R4090,20,Mon,C3,Y
R4091,12,Tue,C4,Y
R4092,4,Wed,C1,Y
R4093,11,Thu,C2,Y
R4094,13,Fri,C3,Y
R4095,11,Mon,C4,Y
R4096,2,Tue,C1,Y
R4097,7,Wed,C2,Y
R4098,15,Thu,C3,Y
R4099,8,Fri,C4,Y
R4100,13,Mon,C1,Y
R4101,12,Tue,C2,Y
R4102,14,Wed,C3,Y
R4103,13,Thu,C4,Y
R4104,4,Fri,C1,Y
R4105,15,Mon,C2,N
R4106,7,Tue,C3,Y
R4107,20,Wed,C4,Y
R4108,16,Thu,C1,Y
R4109,6,Fri,C2,N
R4110,9,Mon,C3,Y
R4111,12,Tue,C4,N
R4112,11,Wed,C1,Y
R4113,9,Thu,C2,Y
R4114,2,Fri,C3,N
R4115,18,Mon,C4,Y
R4116,3,Tue,C1,Y
R4117,5,Wed,C2,N
R4118,18,Thu,C3,Y
R4119,8,Fri,C4,Y
R4120,14,Mon,C1,Y
R4121,14,Tue,C2,N
R4122,14,Wed,C3,Y
R4123,9,Thu,C4,N
R4124,5,Fri,C1,Y
R4125,17,Mon,C2,Y
R4126,6,Tue,C3,Y
R4127,9,Wed,C4,Y
R4128,20,Thu,C1,Y
R4129,9,Fri,C2,Y
R4130,23,Mon,C3,Y
R4131,6,Tue,C4,Y
R4132,7,Wed,C1,Y
R4133,18,Thu,C2,Y
R4134,4,Fri,C3,Y
R4135,14,Mon,C4,Y
R4136,6,Tue,C1,Y
R4137,8,Wed,C2,N
R4138,19,Thu,C3,Y
R4139,5,Fri,C4,Y
R4140,9,Mon,C1,N
R4141,2,Tue,C2,Y
R4142,13,Wed,C3,Y
R4143,11,Thu,C4,N
R4144,5,Fri,C1,N
R4145,9,Mon,C2,Y
R4146,14,Tue,C3,N
R4147,8,Wed,C4,Y
R4148,11,Thu,C1,Y
R4149,5,Fri,C2,Y
R4150,14,Mon,C3,Y
R4151,4,Tue,C4,N
R4152,14,Wed,C1,Y
R4153,14,Thu,C2,Y
R4154,13,Fri,C3,Y
R4155,11,Mon,C4,Y
R4156,7,Tue,C1,Y
R4157,14,Wed,C2,Y
R4158,16,Thu,C3,Y
R4159,10,Fri,C4,N
R4160,16,Mon,C1,Y
R4161,6,Tue,C2,N
R4162,13,Wed,C3,Y
R4163,14,Thu,C4,N
R4164,3,Fri,C1,Y
R4165,11,Mon,C2,Y
R4166,14,Tue,C3,Y
R4167,10,Wed,C4,N
R4168,17,Thu,C1,Y
R4169,18,Fri,C2,Y
R4170,15,Mon,C3,Y
R4171,9,Tue,C4,Y
R4172,9,Wed,C1,Y
R4173,12,Thu,C2,Y
R4174,12,Fri,C3,Y
R4175,8,Mon,C4,N
R4176,10,Tue,C1,Y
R4177,8,Wed,C2,Y
R4178,16,Thu,C3,Y
R4179,7,Fri,C4,Y
R4180,13,Mon,C1,Y
R4181,21,Tue,C2,N
R4182,5,Wed,C3,N
R4183,21,Thu,C4,Y
R4184,3,Fri,C1,Y
R4185,9,Mon,C2,Y
R4186,17,Tue,C3,N
R4187,2,Wed,C4,Y
R4188,22,Thu,C1,Y
R4189,13,Fri,C2,Y
R4190,8,Mon,C3,Y
R4191,14,Tue,C4,N
R4192,10,Wed,C1,Y
R4193,26,Thu,C2,Y
R4194,6,Fri,C3,Y
R4195,8,Mon,C4,Y
R4196,13,Tue,C1,N
R4197,8,Wed,C2,Y
R4198,7,Thu,C3,N
R4199,8,Fri,C4,Y
R4200,18,Mon,C1,Y
R4201,6,Tue,C2,N
R4202,16,Wed,C3,Y
R4203,16,Thu,C4,Y
R4204,5,Fri,C1,Y
R4205,19,Mon,C2,Y
R4206,10,Tue,C3,Y
R4207,13,Wed,C4,N
R4208,19,Thu,C1,Y
R4209,2,Fri,C2,Y
R4210,11,Mon,C3,Y
R4211,16,Tue,C4,Y
R4212,9,Wed,C1,N
R4213,15,Thu,C2,N
R4214,4,Fri,C3,N
R4215,10,Mon,C4,Y
R4216,11,Tue,C1,Y
R4217,12,Wed,C2,Y
R4218,16,Thu,C3,N
R4219,2,Fri,C4,N
R4220,13,Mon,C1,Y
R4221,10,Tue,C2,Y
R4222,4,Wed,C3,Y
R4223,14,Thu,C4,Y
R4224,12,Fri,C1,Y
R4225,12,Mon,C2,N
R4226,8,Tue,C3,Y
R4227,12,Wed,C4,Y
R4228,17,Thu,C1,N
R4229,2,Fri,C2,Y
R4230,9,Mon,C3,Y
R4231,10,Tue,C4,N
R4232,2,Wed,C1,Y
R4233,2,Thu,C2,Y
R4234,3,Fri,C3,Y
R4235,9,Mon,C4,Y
R4236,16,Tue,C1,Y
R4237,10,Wed,C2,Y
R4238,18,Thu,C3,N
R4239,7,Fri,C4,N
R4240,17,Mon,C1,N
