Student ID,Gender,Age,Parent Education Level,Hours Studied Per Week,Sleep Hours Per Night,Extracurricular Activities,Math Score,Science Score,English Score,Overall GPA,Absence Rate,Technology Access,Study Group Participation
1149,Female,15,Bachelor's,11.9,7.2,9.6,64,97,82,3.2,4.1,Yes,No
1150,Male,15,Bachelor's,9.6,7.8,0.4,59,98,81,3.2,2.5,Yes,Yes
1151,Male,16,High School,8.3,6.3,5.7,68,57,61,2.5,2.2,Yes,Yes
1152,Male,16,High School,10.7,8.6,8.2,46,84,80,2.8,3.1,Yes,No
1153,Female,17,High School,10.1,7.0,5.9,71,67,77,2.9,6.6,Yes,No
1154,Male,16,High School,11.2,8.2,10.3,50,76,86,2.8,1.4,Yes,No
1155,Male,15,Some College,11.3,8.9,5.9,86,85,84,3.4,2.2,No,Yes
1156,Female,15,Bachelor's,11.2,7.8,8.5,98,91,93,3.8,3.6,Yes,Yes
1157,Male,16,Graduate,10.0,5.7,6.0,89,100,94,3.8,2.9,Yes,Yes
1158,Female,17,Some College,11.8,7.4,5.8,97,97,60,3.4,8.6,Yes,Yes
1159,Female,17,Some College,9.2,6.8,9.8,69,76,84,3.1,2.5,Yes,No
1160,Female,17,Bachelor's,9.1,6.2,6.9,91,100,71,3.5,3.0,Yes,Yes
1161,Female,17,Graduate,14.6,5.5,7.1,84,84,99,3.6,1.1,Yes,No
1162,Male,18,High School,10.7,7.2,7.3,100,94,77,3.6,0.9,No,No
1163,Male,16,Graduate,10.1,6.5,10.2,54,88,80,3.0,2.1,Yes,Yes
1164,Female,17,Bachelor's,12.5,5.5,3.3,76,100,75,3.3,0.8,Yes,Yes
1165,Female,16,Bachelor's,11.9,7.2,3.3,72,87,83,3.2,6.5,No,Yes
1166,Male,15,Some College,8.4,6.2,2.7,79,85,83,3.3,3.2,Yes,No
1167,Male,17,Some College,8.7,,7.1,72,80,94,3.3,2.4,Yes,Yes
1168,Female,16,Bachelor's,12.4,6.2,4.5,85,68,76,3.1,7.1,No,No
1169,Male,15,High School,10.3,7.5,0.9,94,70,82,3.3,5.9,Yes,Yes
1170,Female,16,High School,1,5.6,7.6,70,59,70,2.7,3.5,Yes,Yes
1171,Male,17,Bachelor's,,7.0,4.6,64,77,79,2.9,7.3,Yes,Yes
1172,Male,16,Bachelor's,11.3,7.9,3.7,93,67,67,3.0,1.7,Yes,No
1173,Female,16,High School,9.9,6.7,1.8,48,69,56,2.3,8.1,No,Yes
1174,Female,16,Some College,10.7,7.0,8.4,60,80,80,2.9,0.7,Yes,Yes
1175,Male,15,High School,4.5,8.7,12.1,87,47,68,2.7,3.5,Yes,Yes
1176,Male,16,Bachelor's,3.1,7.1,4.6,82,52,81,2.9,3.1,Yes,Yes
1177,Female,16,Bachelor's,5.8,7.7,3.0,57,100,81,3.2,2.2,Yes,Yes
1178,Female,16,Some College,14.8,6.2,2.8,85,83,90,3.4,7.5,Yes,No
1179,Male,16,Bachelor's,12.4,6.7,4.9,100,69,82,3.3,5.2,Yes,No
1180,Female,16,Graduate,9.6,6.5,11.3,71,100,84,3.4,2.9,Yes,No
1181,Male,16,Graduate,14.4,7.8,6.7,100,95,100,3.9,11.9,Yes,No
1182,Female,15,Bachelor's,,7.1,8.0,84,85,78,3.3,1.3,Yes,Yes
1183,Male,15,Some College,11.6,7.2,1.9,88,75,74,3.2,0.5,No,No
1184,Female,16,High School,7.5,7.7,2.4,80,78,76,3.1,1.4,Yes,Yes
1185,Female,15,High School,4.7,5.6,11.3,98,61,42,2.7,4.3,Yes,Yes
1186,Female,15,High School,10.2,6.1,6.8,100,100,83,3.8,1.5,Yes,Yes
1187,Male,18,Bachelor's,10.8,8.0,4.2,90,96,92,3.7,1.4,No,Yes
1188,Female,18,Some College,15.7,4.4,5.2,69,64,79,2.8,7.8,Yes,Yes
1189,Male,16,Bachelor's,7.7,7.0,1.6,73,62,77,2.8,17.4,No,Yes
1190,Male,16,High School,9.5,6.7,9.1,87,94,74,3.4,0.7,Yes,Yes
1191,Female,17,Some College,10.7,6.7,5.7,86,81,93,3.5,8.3,Yes,Yes
1192,Male,16,High School,11.6,6.9,7.3,65,74,70,2.8,4.1,Yes,Yes
1193,Female,18,Some College,11.0,5.1,1.8,83,66,76,3.0,0.2,Yes,Yes
1194,Male,16,High School,10.7,7.5,6.8,100,91,77,3.6,6.1,Yes,Yes
1195,Female,15,Some College,15.9,6.5,2.1,95,62,81,3.2,4.2,Yes,Yes
1196,Female,17,Graduate,9.7,7.3,9.9,63,84,83,3.1,5.2,No,Yes
1197,Male,17,High School,14.4,,3.9,98,85,73,3.4,5.3,Yes,Yes
1198,Male,17,Graduate,14.3,9.0,2.1,81,99,100,3.7,4.3,Yes,No
1199,Female,16,Graduate,14.1,8.2,7.5,70,89,74,3.1,1.9,Yes,No
1200,Female,18,Some College,5.3,7.8,7.0,89,87,85,3.5,1.0,Yes,Yes
1201,Female,16,Some College,8.9,6.4,3.5,78,71,56,2.7,2.3,Yes,No
1202,Male,16,High School,9.5,5.7,7.2,96,73,96,3.5,6.0,No,No
1203,Male,15,Bachelor's,14.1,8.1,4.2,100,100,100,4.0,8.6,Yes,Yes
1204,Male,16,Some College,10.6,6.1,6.3,76,100,76,3.4,9.4,Yes,Yes
1205,Female,16,High School,10.9,7.2,5.6,86,84,79,3.3,1.1,No,No
1206,Female,15,High School,6.1,7.2,3.8,92,94,90,3.7,1.3,Yes,Yes
1207,Male,17,Bachelor's,4.8,5.5,4.5,72,84,67,3.0,1.5,Yes,Yes
1208,Male,15,Bachelor's,9.9,5.0,4.9,91,68,86,3.3,2.8,Yes,Yes
1209,Female,16,Some College,9.0,7.4,7.1,77,73,95,3.3,2.5,Yes,No
1210,Male,16,Some College,12.1,,8.7,64,87,66,2.9,1.4,No,Yes
1211,Male,15,Some College,6.8,5.6,5.1,55,60,80,2.6,7.2,Yes,No
1212,Male,15,Some College,6.0,7.1,5.8,94,77,99,3.6,2.7,Yes,No
1213,Male,17,Bachelor's,12.9,6.1,6.7,85,79,100,3.5,1.3,Yes,No
1214,Female,17,Graduate,7.6,10.1,2.1,88,87,77,3.4,3.5,No,No
1215,Male,16,High School,11.8,7.2,8.4,85,81,100,3.5,3.4,Yes,No
1216,Female,15,Graduate,13.2,8.2,4.6,100,68,100,3.6,3.0,Yes,No
1217,Female,16,High School,12.6,5.1,5.9,86,87,88,3.5,6.1,Yes,Yes
1218,Female,15,High School,11.5,,1.2,75,86,63,3.0,9.1,Yes,No
1219,Female,16,Graduate,10.5,9.1,5.0,70,95,67,3.1,10.8,Yes,Yes
1220,Female,15,High School,3.9,6.3,7.2,73,29,70,2.3,1.7,No,No
1221,Female,16,High School,8.5,5.9,6.3,95,66,97,3.4,1.6,Yes,No
1222,Male,16,Some College,,7.0,8.8,76,86,89,3.3,1.1,No,Yes
1223,Male,16,Some College,12.4,6.9,9.1,54,99,73,3.0,8.6,Yes,Yes
1224,Female,18,High School,13.6,8.0,10.5,77,100,87,3.5,3.7,Yes,Yes
1225,Male,17,Bachelor's,9.7,6.0,5.9,100,71,94,3.5,8.6,Yes,No
1226,Female,15,Graduate,9.1,7.4,7.3,74,77,82,3.1,6.7,No,Yes
1227,Male,16,Graduate,20.1,7.5,2.3,97,94,100,3.9,6.7,Yes,Yes
1228,Female,17,Graduate,9.8,6.1,5.8,84,82,80,3.3,5.6,Yes,No
1229,Male,18,Bachelor's,9.3,6.3,9.2,81,93,75,3.3,0.7,Yes,Yes
1230,Female,17,High School,13.0,6.6,2.3,68,78,85,3.1,2.5,Yes,Yes
1231,Male,16,Some College,13.7,6.9,1.8,100,100,90,3.9,3.2,Yes,Yes
1232,Male,17,Some College,10.4,5.6,3.6,78,93,76,3.3,2.8,No,Yes
1233,Female,16,Graduate,12.2,8.4,1.5,79,85,76,3.2,4.6,Yes,Yes
1234,Male,16,Some College,12.5,,9.3,100,80,89,3.6,1.3,No,Yes
1235,Female,17,Some College,15.1,7.4,8.5,51,77,79,2.8,2.4,No,Yes
1236,Female,15,High School,12.8,8.8,9.1,56,80,84,2.9,1.5,Yes,No
1237,Female,17,Some College,10.4,5.8,5.8,67,100,92,3.5,2.0,Yes,Yes
1238,Female,17,High School,,7.0,4.6,99,67,75,3.2,4.0,Yes,Yes
1239,Male,17,High School,8.2,8.5,3.4,79,69,48,2.6,1.7,Yes,Yes
1240,Male,15,Graduate,,6.7,6.8,100,86,98,3.8,0.9,Yes,No
1241,Male,18,Some College,6.4,6.6,3.9,100,55,76,3.1,8.6,Yes,Yes
1242,Female,16,Some College,5.1,6.1,4.1,52,100,82,3.1,5.9,Yes,Yes
1243,Female,16,Graduate,5.8,6.7,5.8,86,58,79,3.0,6.8,Yes,No
1244,Female,17,Some College,9.1,6.6,6.9,100,94,94,3.8,1.1,Yes,Yes
1245,Female,16,Bachelor's,15.3,,4.3,100,100,100,4.0,3.1,Yes,Yes
1246,Female,16,Some College,12.1,6.6,9.8,83,100,65,3.3,1.1,Yes,Yes
1247,Male,17,Some College,2.7,5.3,6.3,58,58,90,2.7,4.8,No,No
1248,Male,18,Some College,12.6,7.3,5.2,55,74,65,2.6,0.9,Yes,No
1249,Female,16,Bachelor's,9.5,4.5,6.5,80,65,54,2.7,5.8,No,No
1250,Female,15,Graduate,4.6,8.2,6.9,83,71,87,3.2,4.9,Yes,Yes
1251,Male,15,High School,14.3,7.3,9.4,78,98,100,3.7,0.4,Yes,No
1252,Female,18,Bachelor's,12.0,5.7,0,78,93,100,3.6,12.6,Yes,Yes
1253,Female,17,Graduate,9.7,7.7,8.8,100,96,94,3.9,3.2,Yes,Yes
1254,Male,16,Graduate,17.2,8.5,5.6,79,85,100,3.5,6.5,Yes,Yes
1255,Male,15,Some College,12.0,6.8,7.4,72,65,83,2.9,1.4,Yes,No
1256,Female,16,Bachelor's,9.8,6.0,9.8,95,80,93,3.6,0.7,Yes,Yes
1257,Male,16,Graduate,10.7,7.1,3.2,84,100,98,3.8,7.8,Yes,No
1258,Male,18,Bachelor's,14.0,,1.8,75,85,100,3.5,1.6,Yes,No
1259,Female,17,Graduate,10.3,,8.9,78,100,62,3.2,7.1,No,Yes
1260,Male,15,Bachelor's,9.0,8.3,8.2,90,96,68,3.4,3.4,Yes,No
1261,Male,17,Bachelor's,10.1,6.9,13.0,92,83,79,3.4,2.0,Yes,Yes
1262,Female,16,High School,6.5,6.3,9.7,69,57,48,2.3,4.7,Yes,Yes
1263,Female,15,Bachelor's,8.0,6.2,8.3,96,52,99,3.3,1.2,Yes,Yes
1264,Male,16,Bachelor's,11.0,8.3,7.6,82,97,95,3.7,3.4,Yes,Yes
1265,Male,16,Some College,4.0,6.7,2.4,95,73,65,3.1,3.9,Yes,No
1266,Female,16,Bachelor's,10.3,6.7,9.5,76,76,73,3.0,10.5,Yes,Yes
1267,Female,18,Bachelor's,13.4,7.3,7.0,68,70,83,2.9,9.9,Yes,Yes
1268,Male,17,High School,8.1,6.7,4.6,88,90,92,3.6,3.6,Yes,Yes
1269,Female,17,Graduate,4.5,6.4,7.3,82,71,86,3.2,4.0,Yes,No
1270,Male,17,High School,12.3,7.9,4.6,93,97,100,3.9,0.8,Yes,No
1271,Female,16,Some College,12.1,7.6,5.7,88,93,84,3.5,2.5,Yes,No
1272,Female,15,Graduate,8.8,7.2,6.6,100,70,91,3.5,0.7,Yes,Yes
1273,Female,16,Graduate,13.2,7.1,0.8,100,100,83,3.8,4.8,Yes,Yes
1274,Female,17,High School,9.8,7.1,5.3,77,54,72,2.7,1.3,Yes,No
1275,Female,15,High School,9.5,7.3,6.4,65,75,59,2.7,0.7,No,Yes
1276,Female,16,High School,4.0,7.3,8.8,81,78,69,3.0,3.6,Yes,No
1277,Female,16,High School,8.8,8.9,7.8,91,56,60,2.8,4.8,Yes,Yes
1278,Male,18,High School,5.5,6.5,5.5,73,87,68,3.0,1.1,Yes,Yes
1279,Male,16,Some College,5.6,6.7,4.6,86,45,77,2.8,7.6,Yes,Yes
1280,Male,16,Some College,9.4,7.4,8.1,77,82,93,3.4,4.4,No,Yes
1281,Male,16,Bachelor's,9.8,6.7,6.9,84,77,68,3.1,2.3,Yes,No
1282,Male,17,Some College,5.0,6.5,4.8,81,85,88,3.4,10.1,Yes,Yes
1283,Female,17,Some College,2.8,5.4,5.6,57,88,50,2.6,2.5,Yes,Yes
1284,Male,16,Graduate,11.3,7.9,6.7,96,95,91,3.8,2.2,Yes,Yes
1285,Female,15,Bachelor's,10.2,5.7,10.0,96,71,95,3.5,2.3,Yes,Yes
1286,Male,15,Some College,14.3,6.5,6.7,89,96,85,3.6,1.2,Yes,Yes
1287,Male,17,Graduate,13.7,7.5,0,100,80,95,3.7,3.0,Yes,Yes
1288,Female,17,High School,7.1,7.3,8.7,66,45,59,2.3,5.5,Yes,No
1289,Male,16,Bachelor's,6.7,4.2,3.4,68,77,78,3.0,1.8,No,No
1290,Male,17,Bachelor's,7.9,7.3,4.9,58,50,93,2.7,7.3,Yes,No
1291,Male,15,High School,7.2,,7.7,75,78,83,3.1,2.1,Yes,No
1292,Female,18,Graduate,11.9,6.5,6.7,97,87,100,3.8,1.0,Yes,Yes
1293,Female,17,Bachelor's,10.1,6.5,8.2,76,100,81,3.4,4.5,Yes,Yes
1294,Male,17,Some College,11.1,6.2,5.3,63,76,94,3.1,5.6,No,Yes
1295,Male,15,High School,7.7,8.7,5.2,84,75,82,3.2,3.1,Yes,Yes
1296,Female,17,Bachelor's,12.1,6.6,7.3,82,76,98,3.4,3.3,Yes,No
1297,Female,16,High School,7.6,8.4,3.5,80,55,68,2.7,1.1,Yes,Yes
1298,Female,16,High School,8.5,7.0,5.5,52,71,67,2.5,3.4,Yes,No
1299,Female,17,Some College,,6.1,5.5,94,100,97,3.9,2.4,Yes,Yes
1300,Male,18,Bachelor's,7.6,7.2,2.9,100,68,74,3.2,2.1,Yes,Yes
1301,Female,17,Some College,9.5,8.1,5.9,87,69,84,3.2,1.0,Yes,Yes
1302,Male,16,High School,11.1,7.9,5.2,100,97,75,3.6,3.3,Yes,Yes
1303,Female,16,Graduate,7.9,6.0,4.0,100,72,80,3.4,3.2,Yes,Yes
1304,Male,17,Bachelor's,9.3,6.2,1.6,100,73,96,3.6,2.7,Yes,Yes
